AS21G;AKIŞ ŞALTERİ MUSLUK BAĞLANTILI;УНИВЕРСАЛЬНЫЙ ДАТЧИК ПРОТОКА (С ПОДПИТКОЙ) ;UNIVERSAL FLOW SWITCH;5663770 / 33900010 / R10022752 / 1.023015 / 1.023514 / 6FLUSSOS02;GTE;BAXI Energy Easy, Initia Master, Main, Main Digit / BERETTA Ciao / IMMERGAS Star, Victrix, Mini Special  / FONDITAL Victoria Compact  / NOVA FLORIDA Victoria Compact / WESTEN Quasar, Quasar Plus, Tekna Project / ALPHATHERM Sigma
AS21L;AKIŞ ŞALTERİ MUSLUK BAĞLANTILI;УНИВЕРСАЛЬНЫЙ ДАТЧИК ПРОТОКА (С ПОДПИТКОЙ) ;UNIVERSAL FLOW SWITCH;5663770 / 33900010 / R10022752 / 1.023015 / 1.023514 / 6FLUSSOS02;LDR;BAXI Energy Easy, Initia Master, Main, Main Digit / BERETTA Ciao / IMMERGAS Star, Victrix, Mini Special  / FONDITAL Victoria Compact  / NOVA FLORIDA Victoria Compact / WESTEN Quasar, Quasar Plus, Tekna Project / ALPHATHERM Sigma
AS22B;AKIŞ ŞALTERİ 1/2 REKORLU;УНИВЕРСАЛЬНЫЙ ДАТЧИК ПРОТОКА С МУФТОЙ 1/2;UNIVERSAL FLOW SWITCH;65100296 / 6FLUSSOS00 / 5667220 / R10022348 / 20069786 / 21000605000100 / 710228100;BITRON;FONDITAL / ALPHATHERM / BAXI / WESTEN / ARISTON / IMMERGAS / BERETTA / NEVA LUX
AS22G;AKIŞ ŞALTERİ 1/2 REKORLU;УНИВЕРСАЛЬНЫЙ ДАТЧИК ПРОТОКА С МУФТОЙ 1/2;UNIVERSAL FLOW SWITCH;65100296 / 6FLUSSOS00 / 5667220 / R10022348 / 20069786 / 21000605000100 / 710228100;GTE;FONDITAL / ALPHATHERM / BAXI / WESTEN / ARISTON / IMMERGAS / BERETTA / NEVA LUX
AS23B;İMMERGAZ AKIŞ ŞALTERİ;ДАТЧИК ПРОТОКА ДЛЯ IMMERGAS ;IMMERGAS FLOW SWITCH;1.028570 / 1.035365;BITRON;IMMERGAS Mini, Maior
AS23L;İMMERGAZ AKIŞ ŞALTERİ GEÇME PLASTİK ;ДАТЧИК ПРОТОКА ДЛЯ IMMERGAS ;IMMERGAS FLOW SWITCH;1.028570 / 1.035365;0;IMMERGAS Mini, Maior
AS24LB;AKIŞ ŞALTERİ YAYLI (BEYAZ OKUYUCU);УНИВЕРСАЛЬНЫЙ ДАТЧИК ПРОТОКА ПОД БЕЛЫЙ ДАТЧИК ХОЛЛА;UNIVERSAL FLOW SWITCH WITH SPRING FOR WHITE SENSOR;65100541 / 619050 ;LDR;ARISTON Microgenus / BAXI Eco 3, Energy, Initia / WESTEN Pulsar 
AS24LK;AKIŞ ŞALTERİ YAYLI (KIRMIZI OKUYUCU);УНИВЕРСАЛЬНЫЙ ДАТЧИК ПРОТОКА ПОД КРАСНЫЙ ДАТЧИК ХОЛЛА;UNIVERSAL FLOW SWITCH WITH SPRING FOR RED SENSOR;65100541 619050 ;LDR;ARISTON Microgenus / BAXI Eco 3, Energy, Initia / WESTEN Pulsar 
AS31E;FERROLİ AKIŞ ŞALTERİ;ДАТЧИК ПРОТОКА FERROLI;FERROLI FLOW SWITCH;39818552;ELTEK;FERROLI Divaproject, Arena, Domina, Diva, Divatech, Domiproject, FerEasy
AS31H;AKIŞ ŞALTERİ FERROLİ;ДАТЧИК ПРОТОКА FERROLI;FERROLI FLOW SWITCH;39818552;HUADI;FERROLI Divaproject, Arena, Domina, Diva, Divatech, Domiproject, FerEasy
